mutant_id	file	base_rc	mut_rc	revert	verdict	detail
Tensile.Common.Utilities.x_isRhel8__mutmut_2	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_3	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_4	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_25	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_26	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_27	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_isRhel8__mutmut_28	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_1	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_2	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_3	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_4	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_5	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_13	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_ceilDivide__mutmut_14	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_choose_multiplier__mutmut_7	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_choose_multiplier__mutmut_11	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_choose_multiplier__mutmut_12	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_choose_multiplier__mutmut_14	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
Tensile.Common.Utilities.x_choose_multiplier__mutmut_26	Tensile/Common/Utilities.py	0	1	ok	KILLED	base_rc=0 mut_rc=1
